pid,age,gender,country,login_count_24h,repeat_login_count_24h,active_days_24h,avg_login_gap_minutes,jobs_started_24h,unique_jobs_started_24h,career_jobs_started_24h,special_jobs_started_24h,freeplay_jobs_started_24h,challenge_jobs_started_24h,jobs_completed_24h,career_jobs_completed_24h,special_jobs_completed_24h,freeplay_jobs_completed_24h,challenge_jobs_completed_24h,tasks_completed_24h,subtasks_completed_24h,jobs_exited_24h,avg_session_length_exit,max_session_length_exit,avg_session_length,max_session_length,distinct_jobs_played,interruption_count,avg_interruption_session,longest_interrupted_session,career_play_ratio,special_play_ratio,freeplay_ratio,challenge_ratio,retained
p10817,34,Male,USA,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,56,2,19.0000000000000000,35,1.5000000000000000,3,2,2,19.0000000000000000,35,1,0,0,0,0
p10818,23,Non-binary,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10819,46,Male,USA,1,0,1,0,4,4,4,0,0,0,5,5,0,0,0,13,388,5,51.2000000000000000,65,47.7500000000000000,61,4,5,51.2000000000000000,65,1,0,0,0,1
p1082,33,Male,Argentina,1,0,1,0,2,2,2,0,0,0,3,3,0,0,0,3,152,3,57.3333333333333333,87,42.5000000000000000,44,2,3,57.3333333333333333,87,1,0,0,0,1
p10820,30,Male,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10821,30,Female,Australia,2,1,1,719.6833333333333333,5,5,5,0,0,0,4,4,0,0,0,4,301,4,44.5000000000000000,105,14.8000000000000000,62,5,4,44.5000000000000000,105,1,0,0,0,0
p10822,26,Female,USA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,8.0000000000000000,8,0,0,0,1,8.0000000000000000,8,0,0,0,0,1
p10823,29,Female,USA,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,9,126,3,88.0000000000000000,113,75.5000000000000000,77,2,3,88.0000000000000000,113,1,0,0,0,0
p10824,18,Male,UK,1,0,1,0,4,4,4,0,0,0,3,3,0,0,0,3,186,4,34.0000000000000000,44,23.2500000000000000,40,4,4,34.0000000000000000,44,1,0,0,0,0
p10825,29,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10826,27,Male,Netherlands,1,0,1,0,5,5,5,0,0,0,5,5,0,0,0,13,395,5,97.8000000000000000,184,61.0000000000000000,181,5,5,97.8000000000000000,184,1,0,0,0,1
p10827,60,Male,USA,3,2,2,531.0166666666666667,5,5,5,0,0,0,4,4,0,0,0,5,237,6,59.0000000000000000,107,20.6000000000000000,30,5,6,59.0000000000000000,107,1,0,0,0,1
p10828,38,Female,USA,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,6,13,2,34.0000000000000000,56,12.0000000000000000,12,1,2,34.0000000000000000,56,1,0,0,0,1
p10829,22,Male,Germany,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,49,2,11.5000000000000000,15,4.5000000000000000,8,2,2,11.5000000000000000,15,1,0,0,0,1
p1083,30,"Non-binary,Female",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10831,24,Male,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10832,35,Male,Australia,1,0,1,0,5,5,5,0,0,0,5,5,0,0,0,13,394,5,138.2000000000000000,444,49.6000000000000000,114,5,5,138.2000000000000000,444,1,0,0,0,1
p10833,52,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10834,32,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10835,21,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10836,34,Female,USA,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,59,2,25.5000000000000000,37,7.0000000000000000,14,2,2,25.5000000000000000,37,1,0,0,0,1
p10837,39,Male,Switzerland,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,75,2,17.0000000000000000,23,6.5000000000000000,11,2,2,17.0000000000000000,23,1,0,0,0,1
p10838,43,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10839,40,Female,Japan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1084,25,Female,Australia,1,0,1,0,7,7,7,0,0,0,6,6,0,0,0,14,483,8,109.1250000000000000,228,74.7142857142857143,192,7,8,109.1250000000000000,228,1,0,0,0,1
